City/Town,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Commerce City,46145,47542,48546,49795,51600,53357,54788,56169,58444,60392
Federal Heights,11506,11755,11987,12321,12612,13170,13514,13775,13940,13898
Alamosa,8812,8925,8934,9010,9061,9128,9213,9307,9410,9419
Hooper,103,104,103,103,101,101,101,100,100,99
Centennial,101186,102713,104457,106842,107589,109077,109727,110672,110955,111096
Cherry Hills Village,6019,6124,6247,6380,6471,6578,6661,6645,6651,6650
Columbine Valley,1258,1278,1303,1324,1345,1407,1450,1478,1482,1478
Deer Trail,547,555,564,572,582,617,689,696,731,805
Englewood,30291,30715,31197,31643,32450,33484,34598,34778,34963,35268
Foxfield,689,701,715,756,766,775,782,776,778,776
Glendale,4189,4250,4322,4386,4970,5030,5056,5015,5026,5013
Greenwood Village,13942,14185,14439,14672,15362,16057,16186,16098,16146,16116
Sheridan,5671,5746,5849,5913,5950,6027,6080,6095,6219,6255
Pagosa Springs,1722,1715,1738,1758,1781,1814,1890,1959,2022,2072
Campo,109,108,107,105,103,102,101,98,102,102
Pritchett,140,139,137,134,132,131,130,126,131,131
Springfield,1454,1446,1426,1402,1376,1365,1356,1316,1368,1369
Two Buttes,43,43,42,41,40,40,40,39,40,40
Vilas,114,113,111,109,107,106,106,122,107,107
Walsh,547,543,534,525,515,511,508,493,512,512
Las Animas,2413,2367,2320,2256,2187,2218,2182,2179,2169,2153
Boulder,97919,100124,101580,103107,104934,107218,107626,106911,106459,106473
Jamestown,274,277,282,283,284,299,304,301,299,293
Lafayette,24550,24887,25817,26690,26960,27524,28149,28434,28945,30653
Louisville,18410,18599,19024,19516,20035,20342,20806,21200,21179,20806
Lyons,2038,2070,2096,2112,2013,2057,2068,2060,2066,2047
Nederland,1447,1462,1477,1486,1497,1518,1537,1544,1552,1540
Ward,150,152,153,154,153,155,156,156,165,162
Broomfield,56107,57381,58863,60053,61670,64780,66449,68182,69591,70762
Buena Vista,2615,2642,2661,2724,2733,2756,2796,2847,2876,2906
Poncha Springs,735,745,752,770,770,783,840,944,1039,1092
Salida,5233,5265,5292,5376,5368,5447,5607,5807,5956,6096
Cheyenne Wells,845,860,864,861,845,834,839,838,836,818
Kit Carson,233,236,237,236,232,228,233,233,232,227
Empire,283,281,282,282,284,290,293,302,302,306
Georgetown,1056,1012,1023,997,991,1033,1048,1068,1093,1110
