ValidStart,ValidEnd,None,D0,D1,D2,D3,D4,HighestDroughtLevel
10/12/2021,10/18/2021,5.26,94.74,65.99,29.29,13.63,1.95,D4
10/05/2021,10/11/2021,10.34,89.66,54.1,26.59,12.97,1.95,D4
09/28/2021,10/04/2021,12.72,87.28,46.42,26.3,15.05,3.91,D4
09/21/2021,09/27/2021,16.92,83.08,40.94,24.58,15.05,3.91,D4
09/14/2021,09/20/2021,34.6,65.4,37.06,24.48,15.05,3.91,D4
09/07/2021,09/13/2021,47.43,52.57,36.47,24.48,15.05,3.91,D4
08/31/2021,09/06/2021,49.43,50.57,36.47,24.44,15.05,3.91,D4
08/24/2021,08/30/2021,49.27,50.73,36.61,24.44,15.05,3.91,D4
08/17/2021,08/23/2021,48.62,51.38,37.23,28.04,20.37,6.38,D4
08/10/2021,08/16/2021,53.18,46.82,34.43,28.04,20.37,6.38,D4
08/03/2021,08/09/2021,56.64,43.36,34.52,29.61,20.96,6.38,D4
07/27/2021,08/02/2021,56.19,43.81,38.16,32.98,26.82,15.43,D4
07/20/2021,07/26/2021,54.43,45.57,41.02,36.23,28.15,18.32,D4
07/13/2021,07/19/2021,54.44,45.56,40.99,36.23,29.94,18.32,D4
07/06/2021,07/12/2021,54.48,45.52,41.51,36.37,29.95,17.52,D4
06/29/2021,07/05/2021,54.48,45.52,41.62,36.37,29.95,17.52,D4
06/22/2021,06/28/2021,54.41,45.59,41.62,36.37,30.35,17.73,D4
06/15/2021,06/21/2021,54.98,45.02,41.42,35.54,29.86,17.53,D4
06/08/2021,06/14/2021,54.98,45.02,41.42,35.54,29.15,17.53,D4
06/01/2021,06/07/2021,51.1,48.9,43.36,35.53,29.15,16.39,D4
05/25/2021,05/31/2021,33.83,66.17,46.22,35.53,29.15,16.39,D4
05/18/2021,05/24/2021,23.3,76.7,51.8,39.29,28.96,16.39,D4
05/11/2021,05/17/2021,13.05,86.95,75.19,43.27,29.45,16.39,D4
05/04/2021,05/10/2021,7.84,92.16,79.86,51.85,31.01,16.39,D4
04/27/2021,05/03/2021,1.19,98.81,89.13,60.45,32.13,16.68,D4
04/20/2021,04/26/2021,1.19,98.81,89.13,60.45,32.13,14.65,D4
04/13/2021,04/19/2021,0,100,92.31,61.69,32.13,14.65,D4
04/06/2021,04/12/2021,0,100,92.31,61.69,32.13,14.65,D4
03/30/2021,04/05/2021,0,100,92.31,61.69,32.13,14.65,D4
03/23/2021,03/29/2021,0,100,92.62,62.13,32.13,15.1,D4
03/16/2021,03/22/2021,0,100,95.76,71.47,38.64,15.1,D4
03/09/2021,03/15/2021,0,100,98.57,88.76,56.64,15.89,D4
03/02/2021,03/08/2021,0,100,98.57,88.76,56.66,15.89,D4
02/23/2021,03/01/2021,0,100,98.57,88.76,56.93,15.89,D4
02/16/2021,02/22/2021,0,100,100,90.24,58.91,17.78,D4
02/09/2021,02/15/2021,0,100,100,90.24,70.11,24.79,D4
02/02/2021,02/08/2021,0,100,100,90.24,70.73,24.79,D4
01/26/2021,02/01/2021,0,100,100,90.65,73.11,24.91,D4
01/19/2021,01/25/2021,0,100,100,91.06,73.63,27.59,D4
01/12/2021,01/18/2021,0,100,100,91.03,73.63,27.59,D4
01/05/2021,01/11/2021,0,100,100,93.73,76.17,27.6,D4
12/29/2020,01/04/2021,0,100,100,93.73,76.17,27.6,D4
12/22/2020,12/28/2020,0,100,100,93.73,76.17,27.6,D4
