Name,Year,Date,Acres,Hectares,Cause,Shape Length,Shape Area
2 POUNDS OF BOLOGNA,2009,20-Feb-2009,3862.74944121,1563.20062036,No cause indicated,22049.8080644,15632006.2036
2009037,2009,12-May-2009,1196.35914708,484.149797794,No cause indicated,10473.6663812,4841497.97794
2009081,2009,07-Nov-2009,1685.44998547,682.078012819,No cause indicated,15701.2762449,6820780.12819
238,2009,30-Mar-2009,24830.621824,10048.6050235,No cause indicated,155816.621856,100486050.235
40 ACRE TURNAROUND,2009,24-Feb-2009,13985.1114867,5659.57882709,No cause indicated,52068.0731778,56595788.2709
55,2009,12-May-2009,4283.03184683,1733.28302596,No cause indicated,20882.9388126,17332830.2596
585 FIRE,2009,09-Apr-2009,1117.68589071,452.311832368,No cause indicated,14437.8221585,4523118.32368
617,2009,09-Apr-2009,1223.237878,495.027243895,No cause indicated,14172.3391437,4950272.43895
79,2009,01-Apr-2009,4017.74020782,1625.92321374,No cause indicated,31413.7432121,16259232.1374
923,2009,30-Mar-2009,1806.66198088,731.130810393,No cause indicated,18180.7318341,7311308.10393
ALAMO,2009,23-Apr-2009,2177.53811638,881.219190164,No cause indicated,18194.026763,8812191.90164
ALLIE,2009,07-Jul-2009,1990.30095718,805.446933156,1 - Lightning,20309.7694956,8054469.33156
ALLMAN LAKE,2009,13-Jun-2009,17513.7594961,7087.57327545,No cause indicated,58910.9984439,70875732.7545
ALLRED,2009,03-Aug-2009,2496.22394161,1010.18688203,No cause indicated,25494.0886256,10101868.8203
AMOS CANYON WFM,2009,05-Jul-2009,1332.50208653,539.244939388,Natural,15101.0468045,5392449.39388
ANCHO,2009,16-Jul-2009,1635.47287561,661.852976138,No cause indicated,15602.6860496,6618529.76138
ANDERSON,2009,28-Jul-2009,1452.07884492,587.635979434,1 - Lightning,17229.2141595,5876359.79434
APRIL 9TH COMPLEX 1,2009,09-Apr-2009,23560.0420512,9534.41917754,No cause indicated,87425.3804804,95344191.7754
APRIL 9TH COMPLEX 2,2009,09-Apr-2009,15828.1853103,6405.44500048,No cause indicated,114336.416887,64054450.0048
ARBUCKLE,2009,09-Apr-2009,1459.62093728,590.688158625,No cause indicated,19976.5469864,5906881.58625
ARNICA,2009,23-Sep-2009,11071.34553,4480.41853716,No cause indicated,51050.8157493,44804185.3716
ASPEN,2009,29-Jul-2009,4307.6484361,1743.24501501,No cause indicated,27662.6125902,17432450.1501
AUGUSTINE,2009,15-May-2009,5052.69857201,2044.75637431,No cause indicated,21413.9147677,20447563.7431
BACKBONE,2009,02-Jul-2009,4701.59369218,1902.66914491,No cause indicated,42784.3305536,19026691.4491
