LATITUDE,LONGITUDE,DISCOVERY_DATE
37.345,-102.8058333,7/7/2005
39.43916667,-105.1180556,6/28/2005
37.21722222,-103.1977778,7/24/2005
37.04083333,-102.5880556,7/24/2005
37.3075,-102.7216667,7/17/2005
37.74222222,-103.8605556,7/9/2005
38.16972222,-105.0380556,7/7/2005
37.11861111,-102.7280556,7/24/2005
37.58361111,-103.5886111,8/16/2005
37.54222222,-102.3419444,8/30/2005
37.68027778,-104.0597222,9/28/2005
37.49527778,-107.1222222,7/12/2005
40.41555556,-105.3505556,7/17/2005
40.78,-105.6586111,7/21/2005
40.90972222,-105.5002778,9/7/2005
40.915,-105.5875,9/30/2005
37.42333333,-107.1522222,8/25/2005
40.67638889,-104.5069444,9/2/2005
37.15583333,-106.8844444,6/23/2005
38.62583333,-106.1008333,7/7/2005
38.13888889,-106.5336111,7/18/2005
39.25388889,-106.5725,7/16/2005
40.72444444,-106.7194444,8/29/2005
38.87555556,-107.3363889,7/14/2005
39.56472222,-106.0538889,9/19/2005
38.5675,-107.3375,7/22/2005
37.08361111,-102.7866667,2/12/2006
39.42027778,-107.7930556,4/17/2006
37.20888889,-102.3225,2/13/2006
37.28666667,-102.7680556,6/15/2006
37.21388889,-103.2316667,5/27/2006
37.36083333,-102.7238889,6/16/2006
37.28694444,-103.0958333,6/29/2006
37.54055556,-103.7072222,7/25/2006
38.40138889,-109.0225,6/20/2006
38.12111111,-107.6088889,6/28/2006
38.22916667,-108.2727778,7/21/2006
40.43416667,-105.2877778,8/16/2006
40.81972222,-104.0008333,7/2/2006
39.95083333,-106.1266667,6/14/2006
37.26944444,-103.3244444,6/20/2006
37.35416667,-102.3736111,3/1/2006
37.33694444,-102.5419444,3/8/2006
40.22944444,-106.6041667,7/1/2007
39.66583333,-106.5694444,7/3/2007
37.54888889,-107.5147222,7/3/2007
37.46194444,-107.4477778,7/10/2007
37.2775,-107.3577778,7/5/2007
37.17027778,-102.6969444,9/15/2007
37.69527778,-108.7005556,7/9/2007
40.89916667,-106.6816667,6/28/2007
38.22722222,-106.6175,6/17/2007
38.25277778,-108.2086111,9/1/2007
38.32694444,-108.3891667,8/23/2007
38.85611111,-104.9166667,9/28/2007
37.66638889,-103.7405556,4/14/2008
39.38083333,-105.3119444,6/26/2008
37.3525,-103.0347222,7/1/2008
37.52694444,-103.7694444,6/9/2008
37.22916667,-107.3261111,7/13/2008
37.88472222,-108.7408333,7/23/2008
40.40444444,-105.3413889,9/30/2008
38.55138889,-107.2666667,7/4/2008
38.20138889,-108.2866667,7/25/2008
39.30277778,-105.2086111,7/20/2008
37.74194444,-108.2119444,11/2/2008
40.57277778,-105.3525,11/24/2008
38.98,-108.2030556,7/8/2008
40.71083333,-105.3030556,2/2/2009
37.30888889,-102.665,1/19/2009
37.81861111,-107.1030556,5/11/2009
39.00805556,-105.1769444,2/7/2009
40.47694444,-105.4622222,9/8/2009
38.01,-108.3141667,7/27/2009
37.62972222,-108.6636111,8/2/2009
37.64638889,-108.7183333,8/7/2009
38.41333333,-108.4919444,8/29/2009
39.00138889,-105.4336111,10/19/2009
40.69694444,-104.4575,11/7/2009
38.13666667,-105.1466667,8/31/2009
40.59111111,-106.7736111,8/27/2009
39.06083333,-105.4802778,11/27/2009
40.88722222,-104.6375,11/7/2009
38.5925,-108.7211111,9/10/2009
38.73888889,-108.5755556,7/11/2009
40.44527778,-105.3163889,1/23/2000
40.44527778,-105.3352778,6/12/2000
40.73416667,-105.2958333,7/11/2000
40.80666667,-105.4672222,7/18/2000
40.6625,-105.2805556,8/4/2000
40.82138889,-105.6958333,8/8/2000
40.25277778,-105.9613889,9/15/2000
39.70527778,-107.2938889,7/23/2000
37.64166667,-108.67,7/18/2000
37.58583333,-107.7672222,7/21/2000
37.37277778,-106.7502778,8/3/2000
37.09638889,-106.97,9/22/2000
37.88055556,-108.7477778,9/25/2000
37.175,-107.1230556,9/22/2000
37.12333333,-106.9738889,5/24/2000
37.20833333,-103.0916667,4/4/2000
37.19583333,-102.8305556,4/2/2000
37.16388889,-102.9694444,4/24/2000
39.40527778,-105.4533333,2/9/2000
39.33805556,-105.3047222,5/28/2000
37.81305556,-103.7794444,6/9/2000
37.59472222,-103.6333333,8/15/2000
37.27222222,-103.0597222,9/7/2000
39.41166667,-105.3947222,6/12/2000
37.37416667,-102.6788889,10/3/2000
37.69666667,-103.9436111,7/24/2000
37.64138889,-106.3566667,3/13/2000
38.57861111,-108.5347222,5/29/2000
38.46444444,-106.4502778,7/6/2000
37.61694444,-107.7152778,6/10/2001
37.645,-108.4838889,7/10/2001
37.48,-108.3277778,9/9/2001
40.11666667,-107.4805556,10/27/2001
38.64583333,-106.8527778,7/5/2001
38.07388889,-108.3708333,7/5/2001
38.9,-108.2286111,7/7/2001
39.71666667,-107.6,9/4/2001
