MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
10/12/2021,CO,5.26,94.74,65.99,29.29,13.63,1.95,10/12/2021,10/18/2021,1
10/5/2021,CO,10.34,89.66,54.1,26.59,12.97,1.95,10/5/2021,10/11/2021,1
9/28/2021,CO,12.72,87.28,46.42,26.3,15.05,3.91,9/28/2021,10/4/2021,1
9/21/2021,CO,16.92,83.08,40.94,24.58,15.05,3.91,9/21/2021,9/27/2021,1
9/14/2021,CO,34.6,65.4,37.06,24.48,15.05,3.91,9/14/2021,9/20/2021,1
9/7/2021,CO,47.43,52.57,36.47,24.48,15.05,3.91,9/7/2021,9/13/2021,1
8/31/2021,CO,49.43,50.57,36.47,24.44,15.05,3.91,8/31/2021,9/6/2021,1
8/24/2021,CO,49.27,50.73,36.61,24.44,15.05,3.91,8/24/2021,8/30/2021,1
8/17/2021,CO,48.62,51.38,37.23,28.04,20.37,6.38,8/17/2021,8/23/2021,1
8/10/2021,CO,53.18,46.82,34.43,28.04,20.37,6.38,8/10/2021,8/16/2021,1
8/3/2021,CO,56.64,43.36,34.52,29.61,20.96,6.38,8/3/2021,8/9/2021,1
7/27/2021,CO,56.19,43.81,38.16,32.98,26.82,15.43,7/27/2021,8/2/2021,1
7/20/2021,CO,54.43,45.57,41.02,36.23,28.15,18.32,7/20/2021,7/26/2021,1
7/13/2021,CO,54.44,45.56,40.99,36.23,29.94,18.32,7/13/2021,7/19/2021,1
7/6/2021,CO,54.48,45.52,41.51,36.37,29.95,17.52,7/6/2021,7/12/2021,1
6/29/2021,CO,54.48,45.52,41.62,36.37,29.95,17.52,6/29/2021,7/5/2021,1
6/22/2021,CO,54.41,45.59,41.62,36.37,30.35,17.73,6/22/2021,6/28/2021,1
6/15/2021,CO,54.98,45.02,41.42,35.54,29.86,17.53,6/15/2021,6/21/2021,1
6/8/2021,CO,54.98,45.02,41.42,35.54,29.15,17.53,6/8/2021,6/14/2021,1
6/1/2021,CO,51.1,48.9,43.36,35.53,29.15,16.39,6/1/2021,6/7/2021,1
5/25/2021,CO,33.83,66.17,46.22,35.53,29.15,16.39,5/25/2021,5/31/2021,1
